"Amp","Ampliación"
"Arq","Arquitecto"
"Arz","Arzobispo"
"Autp","Autopista"
"Av","Avenida"
"Avdor","Aviador"
"B°","Barrio"
"Bibl","Bibliotecario"
"Bvd","Boulevard"
"Cbo","Cabo"
"Cam","Camino"
"Cap","Capitán"
"Cdad","Ciudad"
"Com","Comodoro"
"Cons","Consejal"
"Cont","Contador"
"Coop","Cooperativa"
"Cor","Coronel"
"Cort","Cortada"
"D","Deán"
"Diag","Diagonal"
"Dip","Diputado"
"Dr","Doctor"
"Dra","Doctora"
"Enf","Enfermera"
"Fza","Fuerza"
"Gob","Gobernador"
"Mon","Monseñor"
"Ob","Obispo"
"Pque","Parque"
"Pje","Pasaje"
"Peat","Peatonal"
"Pza","Plaza"
"pzlta","Plazoleta"
"Pop","Popular"
"Pte","Presidente"
"1er","Primer"
"Prof","Profesor"
"Rep","República"
"Res","Residencial"
"Rot","Rotonda"
"Sta","Santa"
"Sgto","Sargento"
"Secc","Sección"
"Subof","Suboficial"
"Tte","Teniente"
"Va","Villa"
"Gral","General"
